Population at the beginning of the period across the territory of the Republic of Belarus
persons
        Ivanovo district;40 to 44 years of age;2372
        Ivanovo district;45 to 49 years of age;2531
        Ivanovo district;50 to 54 years of age;2762
        Ivanovo district;55 to 59 years of age;2592
        Ivanovo district;60 to 64 years of age;2718
        Ivanovo district;65 to 69 years of age;2464
        Ivanovo district;70 to 74 years of age;1685
        Ivanovo district;75 to 79 years of age;1209
        Ivanovo district;80 and over;1523
        Ivatsevichy district;0 to 4 years of age;2041
        Ivatsevichy district;By all age;49467
        Ivatsevichy district;5 to 9 years of age;2580
        Ivatsevichy district;10 to 14 years of age;2826
        Ivatsevichy district;15 to 19 years of age;1936
        Ivatsevichy district;20 to 24 years of age;2357
        Ivatsevichy district;25 to 29 years of age;2226
        Ivatsevichy district;30 to 34 years of age;2659
        Ivatsevichy district;35 to 39 years of age;3587
        Ivatsevichy district;40 to 44 years of age;3678
        Ivatsevichy district;45 to 49 years of age;3719
        Ivatsevichy district;50 to 54 years of age;3958
        Ivatsevichy district;55 to 59 years of age;3815
        Ivatsevichy district;60 to 64 years of age;3946
        Ivatsevichy district;65 to 69 years of age;3763
        Ivatsevichy district;70 to 74 years of age;2430
        Ivatsevichy district;75 to 79 years of age;1617
        Ivatsevichy district;80 and over;2329
        Kamenets district;0 to 4 years of age;1490
        Kamenets district;By all age;30495
        Kamenets district;5 to 9 years of age;1864
        Kamenets district;10 to 14 years of age;2139
        Kamenets district;15 to 19 years of age;1303
        Kamenets district;20 to 24 years of age;1537
        Kamenets district;25 to 29 years of age;1425
        Kamenets district;30 to 34 years of age;1496
        Kamenets district;35 to 39 years of age;2093
        Kamenets district;40 to 44 years of age;2090
        Kamenets district;45 to 49 years of age;2075
        Kamenets district;50 to 54 years of age;2169
        Kamenets district;55 to 59 years of age;2364
        Kamenets district;60 to 64 years of age;2611
        Kamenets district;65 to 69 years of age;2205
        Kamenets district;70 to 74 years of age;1482
        Kamenets district;75 to 79 years of age;922
        Kamenets district;80 and over;1230
        Kobrin district;0 to 4 years of age;4056
        Kobrin district;By all age;81116
        Kobrin district;5 to 9 years of age;5397
        Kobrin district;10 to 14 years of age;6049
        Kobrin district;15 to 19 years of age;3955
        Kobrin district;20 to 24 years of age;3757
        Kobrin district;25 to 29 years of age;3835
        Kobrin district;30 to 34 years of age;4866
        Kobrin district;35 to 39 years of age;6073
        Kobrin district;40 to 44 years of age;5959
        Kobrin district;45 to 49 years of age;5730
        Kobrin district;50 to 54 years of age;5605
        Kobrin district;55 to 59 years of age;5449
        Kobrin district;60 to 64 years of age;5957
        Kobrin district;65 to 69 years of age;5547
        Kobrin district;70 to 74 years of age;3707
        Kobrin district;75 to 79 years of age;2290
        Kobrin district;80 and over;2884
        Luninets district;0 to 4 years of age;2765
        Luninets district;By all age;60604
        Luninets district;5 to 9 years of age;3682
        Luninets district;10 to 14 years of age;3975
        Luninets district;15 to 19 years of age;2823
        Luninets district;20 to 24 years of age;2976
        Luninets district;25 to 29 years of age;2435
        Luninets district;30 to 34 years of age;2782
        Luninets district;35 to 39 years of age;3807
        Luninets district;40 to 44 years of age;4696
        Luninets district;45 to 49 years of age;4894
        Luninets district;50 to 54 years of age;4697
        Luninets district;55 to 59 years of age;4173
        Luninets district;60 to 64 years of age;4620
        Luninets district;65 to 69 years of age;4763
        Luninets district;70 to 74 years of age;3247
        Luninets district;75 to 79 years of age;1973
        Luninets district;80 and over;2296
        Lyakhovichy district;0 to 4 years of age;902
        Lyakhovichy district;By all age;21536
        Lyakhovichy district;5 to 9 years of age;1117
        Lyakhovichy district;10 to 14 years of age;1220
        Lyakhovichy district;15 to 19 years of age;1141
        Lyakhovichy district;20 to 24 years of age;932
        Lyakhovichy district;25 to 29 years of age;810
        Lyakhovichy district;30 to 34 years of age;779
        Lyakhovichy district;35 to 39 years of age;1227
        Lyakhovichy district;40 to 44 years of age;1421
        Lyakhovichy district;45 to 49 years of age;1508
        Lyakhovichy district;50 to 54 years of age;1659
        Lyakhovichy district;55 to 59 years of age;1766
        Lyakhovichy district;60 to 64 years of age;2000
        Lyakhovichy district;65 to 69 years of age;1864
        Lyakhovichy district;70 to 74 years of age;1236
        Lyakhovichy district;75 to 79 years of age;871
        Lyakhovichy district;80 and over;1083
