id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,geometry,settlement_key
node/243027224,Чараёўка,Череёвка,Чараёўка,,Charaiouka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2308441 54.57277),Череевка
node/243027496,Калодніца,Колодница,Калодніца,,Kalodnitsa,village,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.1911724 54.5498486),Колодница
node/243027227,Белыя Баркі,Белые Борки,Белыя Баркі,,Belyia Barki,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.1154932 54.571327),Белые Борки
node/243029061,Малы Каменец,Малый Каменец,Малы Каменец,,Maly Kamenets,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.0807881 54.5654695),Малый Каменец
node/243027192,Старожышча,Сторожище,Старожышча,,Starozhyshcha,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.1296268 54.5448305),Сторожище
node/243027199,Дуброўка,Дубровка,Дуброўка,,Dubrouka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.0875875 54.5273513),Дубровка
node/243027202,Дакучына,Докучино,Дакучына,,Dakuchyna,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.1180403 54.506127),Докучино
node/243027186,Гузовіна,Гузовино,Гузовіна,,Guzovina,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.1594079 54.4951131),Гузовино
node/243027490,Прошыка,Прошика,Прошыка,,Proshyka,village,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.1527172 54.486552),Прошика
node/243027184,Дубы,Дубы,Дубы,,Duby,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.1752945 54.5054206),Дубы
node/243027195,Худава,Худово,Худава,,Khudava,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.1680922 54.5272133),Худово
node/243027205,Язбы,Язбы,Язбы,,Iazby,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2212866 54.5170196),Язбы
node/243027189,Язбы,Язбы,Язбы,,Iazby,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2389395 54.501153),Язбы
node/243031719,Лютыя,Лютые,Лютыя,,Liutyia,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2844281 54.4851482),Лютые
node/243031745,Шарнева,Шарнево,Шарнева,,Sharneva,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.326874 54.484135),Шарнево
node/243027223,Харытанцы,Хаританцы,Харытанцы,,Kharytantsy,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.25994 54.53184),Хаританцы
node/243027221,Забарочча,Заборочье,Забарочча,,Zabarochcha,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2522191 54.555396),Заборочье
node/243032035,Заборʼе,Заборье,Заборʼе,Zaborye,Zaborye,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3108756 54.5393324),Заборье
node/243032009,Асечана,Осечено,Асечана,,Asechana,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3316099 54.5719046),Осечено
node/243032006,Бобрык,Бобрик,Бобрык,,Bobryk,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3825867 54.5679837),Бобрик
node/243032038,Дзяньгубка,Деньгубка,Дзяньгубка,,Dzian'gubka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.4010438 54.5293697),Деньгубка
