X,Y,fid,id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,settlement_key
5648626.84251218,3634282.3643125,20758,node/243042445,Ладыжана,Ладыжено,Ладыжана,,Ladyzhana,hamlet,Belarus,BY006,Mogilev,BY006020,Shklov,Ладыжено
5655157.62810368,3632160.93367253,20760,node/243042707,Яськаўшчына,Яськовщина,Яськаўшчына,,Ias'kaushchyna,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Яськовщина
5653482.78814276,3633680.17421501,20761,node/243042443,Карзеева,Корзеево,Карзеева,,Karzeeva,hamlet,Belarus,BY006,Mogilev,BY006020,Shklov,Корзеево
5657709.40383562,3636298.43298676,20762,node/243045976,Вуглы,Углы,Вуглы,,Vugly,hamlet,Belarus,BY006,Mogilev,BY006020,Shklov,Углы
5657664.00578735,3635084.94098605,20763,node/3051817824,Камуна,Коммуна,Камуна,,Kamuna,hamlet,Belarus,BY006,Mogilev,BY006020,Shklov,Коммуна
5658781.37395815,3632270.69121628,20764,node/243046007,Новыя Жданавічы,Новые Ждановичи,Новыя Жданавічы,,Novyia Zhdanavichy,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Новые Ждановичи
5658381.55905511,3631385.34737633,20765,node/243046000,Жданавічы,Ждановичи,Жданавічы,,Zhdanavichy,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Ждановичи
5654640.78773174,3628886.16659826,20766,node/243042440,Цінькаўшчына,Тиньковщина,Цінькаўшчына,,Tsin'kaushchyna,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Тиньковщина
5650983.38751938,3622648.57424748,20774,node/243042454,Макаўня,Маковня,Макаўня,,Makaunia,hamlet,Belarus,BY006,Mogilev,BY006017,Mogilev,Маковня
5654534.53700658,3620878.0362885,20775,node/243042450,Акулінцы,Акулинцы,Акулінцы,,Akulintsy,hamlet,Belarus,BY006,Mogilev,BY006017,Mogilev,Акулинцы
5655010.61481056,3617811.26735902,20777,node/243042467,Кісялькі,Кисельки,Кісялькі,,Kisial'ki,hamlet,Belarus,BY006,Mogilev,BY006017,Mogilev,Кисельки
5658181.63716429,3616215.04318019,20778,node/243042481,Іванаў Дварэц,Иванов Дворец,Іванаў Дварэц,,Ivanau Dvarets,hamlet,Belarus,BY006,Mogilev,BY006017,Mogilev,Иванов Дворец
5662296.35571712,3620519.69451374,20779,node/243045902,Рыкі,Рики,Рыкі,,Ryki,hamlet,Belarus,BY006,Mogilev,BY006017,Mogilev,Рики
5663039.5812006,3624575.3393206,20784,node/243045990,Глініцкі,Глиницкий,Глініцкі,,Glinitski,hamlet,Belarus,BY006,Mogilev,BY006004,Chausy,Глиницкий
5661674.88582623,3626961.77594148,20785,node/243045999,Кіркоры,Киркоры,Кіркоры,,Kirkory,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Киркоры
