,facility_title,link,settlement,facility_type,facility_type_eng,address,website
0,Агеевский ФАП,https://healthcare.by/instinfo.php?orgnum=16445,Агеевка,ФАП,FAP,"ул. Сиреневая, 9, 213114, д. Агеевка, Могилевский р-н, Могилевская обл.",
1,Адамовский ФАП,https://healthcare.by/instinfo.php?orgnum=17185,Адамово,ФАП,FAP,"д. Адамово, Воложинский р-н, Минская обл.",
2,Адаховщинский ФАП,https://healthcare.by/instinfo.php?orgnum=18082,Адаховщина,ФАП,FAP,"пер. Парковый, 10, 225372, д. Адаховщина, Ляховичский р-н, Брестская обл.",
3,Азделинский ФАП,https://healthcare.by/instinfo.php?orgnum=15701,Азделино,ФАП,FAP,"ул. Новая, 1а, 247025, д. Азделино, Гомельский р-н, Гомельская обл.",
4,Азинский ФАП,https://healthcare.by/instinfo.php?orgnum=15299,Азино,ФАП,FAP,"211424, д. Азино, Полоцкий р-н, Витебская обл.",
5,Александровский ФАП,https://healthcare.by/instinfo.php?orgnum=15850,Александровка,ФАП,FAP,"ул. Первомайская, 85, 247718, д. Александровка, Калинковичский р-н, Гомельская обл.",
6,Александровский ФАП,https://healthcare.by/instinfo.php?orgnum=16081,Александровка,ФАП,FAP,"д. 9А, 247507, д. Александровка, Речицкий р-н, Гомельская обл.",
7,Алексеевичский ФАП,https://healthcare.by/instinfo.php?orgnum=17747,Алексеевичи,ФАП,FAP,"ул. Ленина, 18, 225834, д. Алексеевичи, Дрогичинский р-н, Брестская обл.",
8,Алексиничский ФАП,https://healthcare.by/instinfo.php?orgnum=15416,Алексиничи,ФАП,FAP,"д. Алексиничи, Сенненский р-н, Витебская обл.",
9,Алешковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16950,Олешковичи,ФАП,FAP,"213170, д. Олешковичи, Белыничский р-н, Могилевская обл.",
10,Альбянский ФАП,https://healthcare.by/instinfo.php?orgnum=14945,Биозавода,ФАП,FAP,"п. Биозавода, Несвижский р-н, Минская обл.",
11,Амбросовичский ФАП,https://healthcare.by/instinfo.php?orgnum=15506,Амбросовичи,ФАП,FAP,"211262, д. Амбросовичи, Шумилинский р-н, Витебская обл.",
12,"Амховский ФАП, ФАП",https://healthcare.by/instinfo.php?orgnum=29157,Амховая 1-я,ФАП,FAP,"ул. Молодежная, 5, 213109, д. Амховая 1-я, Могилевский р-н, Могилевская обл.",
13,Ананичский ФАП,https://healthcare.by/instinfo.php?orgnum=15117,Ананичи,ФАП,FAP,"д. Ананичи, Пуховичский р-н, Минская обл.",
14,Ананчицкий ФАП,https://healthcare.by/instinfo.php?orgnum=17327,Ананчицы,ФАП,FAP,"ул. Козлова, 1, 223741, д. Ананчицы, Солигорский р-н, Минская обл.",
15,Андроновский ФАП,https://healthcare.by/instinfo.php?orgnum=15338,Андроны,ФАП,FAP,"Юньковский с/с, 211875, д. Андроны, Поставский р-н, Витебская обл.",
16,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=15756,Антоновка,ФАП,FAP,"ул. Комсомольская, 37, 247073, д. Антоновка, Добрушский р-н, Гомельская обл.",
17,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=16661,Антоновка,ФАП,FAP,"ул. Юбилейная, 5, 213220, д. Антоновка, Чаусский р-н, Могилевская обл.",
18,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=16322,Антоновка,ФАП,FAP,"ул. Кирова, 5, 247761, д. Березовка, Мозырский р-н, Гомельская обл.",
19,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=15849,Антоновка,ФАП,FAP,"ул. Советская, 44А, 247730, д. Антоновка, Калинковичский р-н, Гомельская обл.",
20,Антоновский ФАП,https://healthcare.by/instinfo.php?orgnum=15810,Антоновка,ФАП,FAP,"ул. Интернациональная, 12, 247248, д. Антоновка, Жлобинский р-н, Гомельская обл.",
21,Антопольевский ФАП,https://healthcare.by/instinfo.php?orgnum=15473,Антополье,ФАП,FAP,"ул. Гагарина, 38, 211157, д. Антополье, Чашникский р-н, Витебская обл.",
22,Арабовщинский ФАП,https://healthcare.by/instinfo.php?orgnum=17630,Арабовщина,ФАП,FAP,"ул. Карвата, 1, 225314, д. Арабовщина, Барановичский р-н, Брестская обл.",
23,Артуковский ФАП,https://healthcare.by/instinfo.php?orgnum=16080,Артуки,ФАП,FAP,"ул. Советская, 37а, 247503, д. Артуки, Речицкий р-н, Гомельская обл.",
24,Асаревичский ФАП,https://healthcare.by/instinfo.php?orgnum=15630,Асаревичи,ФАП,FAP,"ул. Колхозная, 6, 247662, д. Асаревичи, Брагинский р-н, Гомельская обл.",
25,Аталезский ФАП,https://healthcare.by/instinfo.php?orgnum=16944,Аталезь,ФАП,FAP,"ул. Мамонтова, 5, 222673, аг. Аталезь, Столбцовский р-н, Минская обл.",
26,Ахремовская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=15097,Ахремовцы,Амбулатория,Outpatient Clinic,"ул. Школьная, 76, 211972, д. Ахремовцы, Браславский р-н, Витебская обл.",
27,Б. Негновичский ФАП,https://healthcare.by/instinfo.php?orgnum=16887,Большие Негновичи,ФАП,FAP,"ул. Центральная, д. Большие Негновичи, Борисовский р-н, Минская обл.",
28,Б. Осовский ФАП,https://healthcare.by/instinfo.php?orgnum=15324,Большое Осово,ФАП,FAP,"д. Большое Осово, Крупский р-н, Минская обл.",
29,Бабировский ФАП,https://healthcare.by/instinfo.php?orgnum=16060,Бабирово,ФАП,FAP,"Кирова, 52, 213879, д. Бабирово, Глусский р-н, Могилевская обл.",
30,Бабичский ФАП,https://healthcare.by/instinfo.php?orgnum=28087,Бабичи,ФАП,FAP,"ул. Садовая, 1, д. Бабичи, Чечерский р-н, Гомельская обл.",
31,Бабичский ФАП,https://healthcare.by/instinfo.php?orgnum=16089,Бабичи,ФАП,FAP,"ул. Мастрюкова, 17, 247534, д. Бабичи, Речицкий р-н, Гомельская обл.",
32,Бабуничский ФАП,https://healthcare.by/instinfo.php?orgnum=16035,Бабуничи,ФАП,FAP,"ул. Шурина, 3, 247932, д. Бабуничи, Петриковский р-н, Гомельская обл.",
33,Баевский ФАП,https://healthcare.by/instinfo.php?orgnum=15221,Баево,ФАП,FAP,"211052, д. Баево, Дубровенский р-н, Витебская обл.",
34,Бакуновский-1 ФАП,https://healthcare.by/instinfo.php?orgnum=17389,Бакуны-1,ФАП,FAP,"ул. Центральная, 71, 225142, д. Бакуны-1, Пружанский р-н, Брестская обл.",
35,Балашевичский ФАП,https://healthcare.by/instinfo.php?orgnum=16032,Балашевичи,ФАП,FAP,"Ленина, 1, 213865, д. Балашевичи, Глусский р-н, Могилевская обл.",
36,Балашовский ФАП,https://healthcare.by/instinfo.php?orgnum=17227,Балаши,ФАП,FAP,"ул. Малькевича, 16, д. Балаши, Вилейский р-н, Минская обл.",
37,Барановичский ФАП,https://healthcare.by/instinfo.php?orgnum=16720,Барановичи,ФАП,FAP,"231435, д. Барановичи, Кореличский р-н, Гродненская обл.",
38,Барановский ФАП,https://healthcare.by/instinfo.php?orgnum=23533,Бараново,ФАП,FAP,"д. Бараново, Гродненский р-н, Гродненская обл.",
39,Барбаровский ФАП,https://healthcare.by/instinfo.php?orgnum=16320,Барбаров,ФАП,FAP,"ул. Молодежная, 10-1, 247753, д. Барбаров, Мозырский р-н, Гомельская обл.",
40,Барсеевский ФАП,https://healthcare.by/instinfo.php?orgnum=15238,Барсеево,ФАП,FAP,"Горбовский с/с, 211204, д. Барсеево, Лиозненский р-н, Витебская обл.",
41,Барсуковский ФАП,https://healthcare.by/instinfo.php?orgnum=7244,Барсуки,ФАП,FAP,"2136506, д. Барсуки, Климовичский р-н, Могилевская обл.",
42,Барсуковский ФАП,https://healthcare.by/instinfo.php?orgnum=14874,Барсуки,ФАП,FAP,"д. Барсуки, Смолевичский р-н, Минская обл.",
43,Барсуковский ФАП,https://healthcare.by/instinfo.php?orgnum=15204,Барсуки,ФАП,FAP,"ул. Молодежная, 8, 211729, д. Барсуки, Докшицкий р-н, Витебская обл.",
44,Барсуковский ФАП,https://healthcare.by/instinfo.php?orgnum=16370,Барсуки,ФАП,FAP,"ул. Центральная, 27а, д. Барсуки, Кировский р-н, Могилевская обл.",
45,Барчицкий ФАП,https://healthcare.by/instinfo.php?orgnum=18476,Барчицы,ФАП,FAP,"ул. Садовая, 2а, д. Барчицы, Кировский р-н, Могилевская обл.",
46,Барышевский ФАП,https://healthcare.by/instinfo.php?orgnum=16666,Барышевка,ФАП,FAP,"ул. Школьная, 57, кв. 4, 213202, д. Барышевка, Чаусский р-н, Могилевская обл.",
47,Бастеновичский ФАП,https://healthcare.by/instinfo.php?orgnum=16555,Бастеновичи,ФАП,FAP,"213484, д. Бастеновичи, Мстиславский р-н, Могилевская обл.",
48,Бастунский ФАП,https://healthcare.by/instinfo.php?orgnum=16534,Бастуны,ФАП,FAP,"231371, д. Бастуны, Вороновский р-н, Гродненская обл.",
49,Батченский ФАП,https://healthcare.by/instinfo.php?orgnum=17965,Батчи,ФАП,FAP,"ул. Садовая, 14, 225874, д. Батчи, Кобринский р-н, Брестская обл.",
50,Бацуньский ФАП,https://healthcare.by/instinfo.php?orgnum=15671,Бацунь,ФАП,FAP,"247356, д. Бацунь, Буда-Кошелевский р-н, Гомельская обл.",
51,Башневский ФАП,https://healthcare.by/instinfo.php?orgnum=17711,Башни,ФАП,FAP,"ул. Луговая, 20, 211279, д. Башни, Шумилинский р-н, Витебская обл.",
52,Безверховичский ФАП,https://healthcare.by/instinfo.php?orgnum=17138,Безверховичи,ФАП,FAP,"р. Мурашки, 19, д. Безверховичи, Слуцкий р-н, Минская обл.",
53,Безуевский ФАП,https://healthcare.by/instinfo.php?orgnum=16088,Безуев,ФАП,FAP,"247560, д. Безуев, 98 Речицкий р-н, Гомельская обл.",
54,Белановичский ФАП,https://healthcare.by/instinfo.php?orgnum=16043,Белановичи,ФАП,FAP,"ул. Первомайская, 19А, 247903, д. Белановичи, Петриковский р-н, Гомельская обл.",
55,Беларучский ФАП,https://healthcare.by/instinfo.php?orgnum=16918,Алекшицы,ФАП,FAP,"223114, д. Алекшицы, Логойский р-н, Минская обл.",
56,Белевичский ФАП,https://healthcare.by/instinfo.php?orgnum=17925,Белевичи,ФАП,FAP,"213154, д. Белевичи, Могилевский р-н, Могилевская обл.",
57,Белевский ФАП,https://healthcare.by/instinfo.php?orgnum=15784,Белев,ФАП,FAP,"ул. Советская, 247962, д. Белев, Житковичский р-н, Гомельская обл.",
58,Белицкий ФАП,https://healthcare.by/instinfo.php?orgnum=15811,Белица,ФАП,FAP,"ул. Комсомольская, 18а, 247202, д. Белица, Жлобинский р-н, Гомельская обл.",
59,Белоболотский ФАП,https://healthcare.by/instinfo.php?orgnum=16090,Белое Болото,ФАП,FAP,"ул. Молодежная, 23, 247514, д. Белое Болото, Речицкий р-н, Гомельская обл.",
60,Белодубровский ФАП,https://healthcare.by/instinfo.php?orgnum=16348,Белая Дуброва,ФАП,FAP,"ул. Школьная. 1, 213651, д. Белая Дуброва, Костюковичский р-н, Могилевская обл.",
61,Белолипский ФАП,https://healthcare.by/instinfo.php?orgnum=15417,Белая Липа,ФАП,FAP,"д. Белая Липа, Сенненский р-н, Витебская обл.",
62,"Белоусовщинский ФАП, ФАП",https://healthcare.by/instinfo.php?orgnum=28879,Белоусовщина,ФАП,FAP,"ул. Комсомольская, 14, 225178, свх. Белоусовщина, Пружанский р-н, Брестская обл.",
63,Бельковский ФАП,https://healthcare.by/instinfo.php?orgnum=15340,Бельки,ФАП,FAP,"211875, д. Бельки, Поставский р-н, Витебская обл.",
64,Бельковщинский ФАП,https://healthcare.by/instinfo.php?orgnum=15171,Бельковщина,ФАП,FAP,"211621, д. Бельковщина, Верхнедвинский р-н, Витебская обл.",
65,Бельский ФАП,https://healthcare.by/instinfo.php?orgnum=16274,Белая,ФАП,FAP,"ул. Советская, 21, 247763, д. Белая, Мозырский р-н, Гомельская обл.",
66,Бельский ФАП,https://healthcare.by/instinfo.php?orgnum=17981,Бельск,ФАП,FAP,"ул. Советская, 3, 225865, д. Бельск, Кобринский р-н, Брестская обл.",
67,Беляевский ФАП,https://healthcare.by/instinfo.php?orgnum=28133,Беляевка,ФАП,FAP,"ул. Новая,4, 247169, д. Беляевка, Чечерский р-н, Гомельская обл.",
68,Белянский ФАП,https://healthcare.by/instinfo.php?orgnum=16937,Белое,ФАП,FAP,"223137, д. Белое, Логойский р-н, Минская обл.",
69,Бенинский ФАП,https://healthcare.by/instinfo.php?orgnum=16791,Бенин,ФАП,FAP,"ул. Приозерная, 7а, 231415, д. Бенин, Новогрудский р-н, Гродненская обл.",
70,Бервеновский ФАП,https://healthcare.by/instinfo.php?orgnum=15673,Ховхло,ФАП,FAP,"247395, д. Ховхло, Буда-Кошелевский р-н, Гомельская обл.",
71,Бережецкий ФАП,https://healthcare.by/instinfo.php?orgnum=15786,Бережцы,ФАП,FAP,"пер. Советский, 7, 247964, д. Бережцы, Житковичский р-н, Гомельская обл.",
72,Березняковский ФАП,https://healthcare.by/instinfo.php?orgnum=15790,Березняки,ФАП,FAP,"ул. Ленинская, 247968, д. Березняки, Житковичский р-н, Гомельская обл.",
73,Березняковский ФАП,https://healthcare.by/instinfo.php?orgnum=15878,Березняки,ФАП,FAP,"ул. Мира, 8, 247733, д. Березняки, Калинковичский р-н, Гомельская обл.",
74,Березовичский ФАП,https://healthcare.by/instinfo.php?orgnum=15873,Березовичи,ФАП,FAP,"ул. Клубная, 7, 213860, д. Березовичи, Бобруйский р-н, Могилевская обл.",
75,Березовский ФАП,https://healthcare.by/instinfo.php?orgnum=18066,Береза,ФАП,FAP,"ул. Центральная, 10, 225890, д. Береза, Кобринский р-н, Брестская обл.",
76,Березовский ФАП,https://healthcare.by/instinfo.php?orgnum=17613,Березовка,ФАП,FAP,"ул. Садовая, 24Б, 211719, д. Березовка, Докшицкий р-н, Витебская обл.",
77,Березовский ФАП,https://healthcare.by/instinfo.php?orgnum=15899,Березовка,ФАП,FAP,"ул. Молодежная, 35, 247723, д. Березовка, Калинковичский р-н, Гомельская обл.",
78,Березовский ФАП,https://healthcare.by/instinfo.php?orgnum=16056,Березовка,ФАП,FAP,"ул. Молодежная, 1, 213884, д. Березовка, Глусский р-н, Могилевская обл.",
79,Березовский ФАП,https://healthcare.by/instinfo.php?orgnum=16622,Березовка,ФАП,FAP,"213244, д. Березовка, Славгородский р-н, Могилевская обл.",
80,Березцовский ФАП,https://healthcare.by/instinfo.php?orgnum=17483,Березцы,ФАП,FAP,"ул. Центральная, 2, 225763, д. Березцы, Пинский р-н, Брестская обл.",
81,Беседовичский ФАП,https://healthcare.by/instinfo.php?orgnum=17947,Беседы,ФАП,FAP,"213663, д. Беседы, Хотимский р-н, Могилевская обл.",
82,Беседский ФАП,https://healthcare.by/instinfo.php?orgnum=16070,Беседки,ФАП,FAP,"ул. Школьная, 1А, 247900, д. Беседки, Петриковский р-н, Гомельская обл.",
83,Бильдюжский ФАП,https://healthcare.by/instinfo.php?orgnum=15492,Бильдюги,ФАП,FAP,"211915, д. Бильдюги, Шарковщинский р-н, Витебская обл.",
84,Биордовский ФАП,https://healthcare.by/instinfo.php?orgnum=17889,Биорда,ФАП,FAP,"213904, д. Биорда, Кличевский р-н, Могилевская обл.",
85,Бискупский ФАП,https://healthcare.by/instinfo.php?orgnum=16802,Бискупцы,ФАП,FAP,"231303, д. Бискупцы, Лидский р-н, Гродненская обл.",
86,Благовичский ФАП,https://healthcare.by/instinfo.php?orgnum=16662,Благовичи,ФАП,FAP,"ул. Молодежная, 4, 213212, д. Благовичи, Чаусский р-н, Могилевская обл.",
87,Блужский ФАП,https://healthcare.by/instinfo.php?orgnum=15118,Блужа,ФАП,FAP,"д. Блужа, Пуховичский р-н, Минская обл.",
88,Бобовский ФАП,https://healthcare.by/instinfo.php?orgnum=15812,Бобовка,ФАП,FAP,"ул. Интернациональная, 27а, 247246, д. Бобовка, Жлобинский р-н, Гомельская обл.",
89,Бобренятский ФАП,https://healthcare.by/instinfo.php?orgnum=16325,Бобренята,ФАП,FAP,"ул. Садовая, 6-2, 247750, д. Бобренята, Мозырский р-н, Гомельская обл.",
90,Бобровичский ФАП,https://healthcare.by/instinfo.php?orgnum=19341,Бобровичи,ФАП,FAP,"247704, н.п. Бобровичи, Калинковичский р-н, Гомельская обл.",
91,Бобровичский ФАП,https://healthcare.by/instinfo.php?orgnum=17188,Бобровичи,ФАП,FAP,"д. Бобровичи, Воложинский р-н, Минская обл.",
92,Бобровский ФАП,https://healthcare.by/instinfo.php?orgnum=15222,Боброво,ФАП,FAP,"ул. Садовая, 2, 211057, д. Боброво, Дубровенский р-н, Витебская обл.",
93,Бобровский ФАП,https://healthcare.by/instinfo.php?orgnum=15614,Боброво,ФАП,FAP,"211197, д. Боброво, Лепельский р-н, Витебская обл.",
94,Бобыничский ФАП,https://healthcare.by/instinfo.php?orgnum=15300,Бобыничи,ФАП,FAP,"Бобыничский с/с, ул. Школьная, 10, 211431, д. Бобыничи, Полоцкий р-н, Витебская обл.",
95,Богдановский ФАП,https://healthcare.by/instinfo.php?orgnum=15435,Богданово,ФАП,FAP,"д. Богданово, Сенненский р-н, Витебская обл.",
96,Богдянский ФАП,https://healthcare.by/instinfo.php?orgnum=16497,Богди,ФАП,FAP,"231924, д. Богди, Волковысский р-н, Гродненская обл.",
97,Богинский ФАП,https://healthcare.by/instinfo.php?orgnum=15098,Богино,ФАП,FAP,"211995, д. Богино, Браславский р-н, Витебская обл.",
98,Богушовский ФАП,https://healthcare.by/instinfo.php?orgnum=15874,Богушовка,ФАП,FAP,"ул. Советская, 6, 213843, д. Богушовка, Бобруйский р-н, Могилевская обл.",
99,Бокиничский ФАП,https://healthcare.by/instinfo.php?orgnum=17481,Бокиничи,ФАП,FAP,"225732, д. Бокиничи, Пинский р-н, Брестская обл.",
100,Бокшицкий ФАП,https://healthcare.by/instinfo.php?orgnum=17140,Бокщицы,ФАП,FAP,"223640, д. Бокщицы, Слуцкий р-н, Минская обл.",
101,Болецкий ФАП,https://healthcare.by/instinfo.php?orgnum=15588,Новый Болецк,ФАП,FAP,"д. Новый Болецк, Городокский р-н, Витебская обл.",
102,Болколовский ФАП,https://healthcare.by/instinfo.php?orgnum=15491,Болколы,ФАП,FAP,"211919, д. Болколы, Шарковщинский р-н, Витебская обл.",
103,Болоновоселецкий ФАП,https://healthcare.by/instinfo.php?orgnum=16011,Болонов-Селец,ФАП,FAP,"213142, д. Болонов-Селец, Быховский р-н, Могилевская обл.",
104,Болотнянский ФАП,https://healthcare.by/instinfo.php?orgnum=16127,Болотня,ФАП,FAP,"247290, д. Болотня, Рогачевский р-н, Гомельская обл.",
105,Болотский ФАП,https://healthcare.by/instinfo.php?orgnum=18064,Болота,ФАП,FAP,"ул. Комсомольская, 13, 225890, д. Болота, Кобринский р-н, Брестская обл.",
106,Болотчицкий ФАП,https://healthcare.by/instinfo.php?orgnum=17141,Болотчицы,ФАП,FAP,"ул. Н. Село, 50, д. Болотчицы, Слуцкий р-н, Минская обл.",
107,Больтеникский ФАП,https://healthcare.by/instinfo.php?orgnum=16539,Больтеники,ФАП,FAP,"д. Больтеники, Вороновский р-н, Гродненская обл.",
108,Больтишский ФАП,https://healthcare.by/instinfo.php?orgnum=16537,Больтишки,ФАП,FAP,"231399, д. Больтишки, Вороновский р-н, Гродненская обл.",
109,Больше-Автюковский ФАП,https://healthcare.by/instinfo.php?orgnum=15851,Великие Автюки,ФАП,FAP,"пер. Школьный, 3, 247726, д. Великие Автюки, Калинковичский р-н, Гомельская обл.",
110,Больше-Малешевский ФАП,https://healthcare.by/instinfo.php?orgnum=21578,Большое Малешево,ФАП,FAP,"ул. Центральная, 11, 225555, д. Большое Малешево, Столинский р-н, Брестская обл.",
111,Большеорловская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=21582,Большие Орлы,Амбулатория,Outpatient Clinic,"ул. Советская, 22б, д. Большие Орлы, Столинский р-н, Брестская обл.",
112,Большешиловичский ФАП,https://healthcare.by/instinfo.php?orgnum=17050,Большие Шиловичи,ФАП,FAP,"231821, д. Большие Шиловичи, Слонимский р-н, Гродненская обл.",
113,Бор-Дубенецкий ФАП,https://healthcare.by/instinfo.php?orgnum=21575,Бор Дубенец,ФАП,FAP,"ул. Советская, 2, 225546, д. Бор Дубенец, Столинский р-н, Брестская обл.",
114,Борздовский ФАП,https://healthcare.by/instinfo.php?orgnum=17650,Борздовка,ФАП,FAP,"211034, д. Борздовка, Оршанский р-н, Витебская обл.",
115,Борисовичский ФАП,https://healthcare.by/instinfo.php?orgnum=16238,Борисовичи,ФАП,FAP,"213602, д. Борисовичи, Климовичский р-н, Могилевская обл.",
116,Борисовщанский ФАП,https://healthcare.by/instinfo.php?orgnum=16221,Борисовщина,ФАП,FAP,"247611, д. Борисовщина, Хойникский р-н, Гомельская обл.",
117,Боричевичский ФАП,https://healthcare.by/instinfo.php?orgnum=17457,Боричевичи,ФАП,FAP,"225716, д. Боричевичи, Пинский р-н, Брестская обл.",
118,Борковский ФАП,https://healthcare.by/instinfo.php?orgnum=17727,Борки,ФАП,FAP,"ул. Заслонова, 1, 225443, д. Борки, Ганцевичский р-н, Брестская обл.",
119,Борковский ФАП,https://healthcare.by/instinfo.php?orgnum=17150,Борки,ФАП,FAP,"ул. Юбилейная, 9, 225225, д. Борки, Березовский р-н, Брестская обл.",
120,Боровецкий ФАП,https://healthcare.by/instinfo.php?orgnum=18099,Боровцы,ФАП,FAP,"ул. 40 лет Победы, 225658, д. Боровцы, Лунинецкий р-н, Брестская обл.",
121,Боровиковский ФАП,https://healthcare.by/instinfo.php?orgnum=17293,Боровики,ФАП,FAP,"ул. Школьная, 66 А, д. Боровики, Дзержинский р-н, Минская обл.",
122,Боровиковский ФАП,https://healthcare.by/instinfo.php?orgnum=18098,Боровики,ФАП,FAP,"ул. Ленина, 18, 225656, д. Боровики, Лунинецкий р-н, Брестская обл.",
123,Боровицкий ФАП,https://healthcare.by/instinfo.php?orgnum=16185,Боровица,ФАП,FAP,"ул. Центральная, 20а, д. Боровица, Кировский р-н, Могилевская обл.",
124,Боровобудский ФАП,https://healthcare.by/instinfo.php?orgnum=15916,Боровая Буда,ФАП,FAP,"пер. Мирный, 1а, 247183, д. Боровая Буда, Кормянский р-н, Гомельская обл.",
125,Боровской ФАП,https://healthcare.by/instinfo.php?orgnum=15948,Боровое,ФАП,FAP,"ул. Школьная, 9, 247846, д. Боровое, Лельчицкий р-н, Гомельская обл.",
126,Бородиничский ФАП,https://healthcare.by/instinfo.php?orgnum=15099,Бородиничи,ФАП,FAP,"д. Бородиничи, Браславский р-н, Витебская обл.",
127,Борский ФАП,https://healthcare.by/instinfo.php?orgnum=15119,Бор,ФАП,FAP,"д. Бор, Пуховичский р-н, Минская обл.",
128,Борский ФАП,https://healthcare.by/instinfo.php?orgnum=16813,Бор,ФАП,FAP,"ул. Молодежная, 14, 231425, д. Бор, Новогрудский р-н, Гродненская обл.",
129,Бортниковский ФАП,https://healthcare.by/instinfo.php?orgnum=15202,Бортники,ФАП,FAP,"211794, д. Бортники, Глубокский р-н, Витебская обл.",
130,Борунский ФАП,https://healthcare.by/instinfo.php?orgnum=15100,Боруны,ФАП,FAP,"ул. Школьная, 4, 211989, д. Боруны, Браславский р-н, Витебская обл.",
131,Борховский ФАП,https://healthcare.by/instinfo.php?orgnum=16415,Кленовица,ФАП,FAP,"д. 18 А, 247513, д. Кленовица, Речицкий р-н, Гомельская обл.",
132,Борщевский ФАП,https://healthcare.by/instinfo.php?orgnum=15065,Борщевка,ФАП,FAP,"211205, д. Борщевка, Витебский р-н, Витебская обл.",
133,Борщевский ФАП,https://healthcare.by/instinfo.php?orgnum=15754,Борщевка,ФАП,FAP,"ул. Ленина, 1а, 247087, д. Борщевка, Добрушский р-н, Гомельская обл.",
134,Борщевский ФАП,https://healthcare.by/instinfo.php?orgnum=16083,Борщевка,ФАП,FAP,"ул. Совхозная 1-я, 4а, 247511, д. Борщевка, Речицкий р-н, Гомельская обл.",
135,Босянковский ФАП,https://healthcare.by/instinfo.php?orgnum=17635,Босянки,ФАП,FAP,"211957, д. Босянки, Миорский р-н, Витебская обл.",
136,Ботаевский ФАП,https://healthcare.by/instinfo.php?orgnum=17950,Ботаево,ФАП,FAP,"213676, д. Ботаево, Хотимский р-н, Могилевская обл.",
137,Ботвиновский ФАП,https://healthcare.by/instinfo.php?orgnum=28137,Ботвиново,ФАП,FAP,"ул. Трудовая,1, 247155, д. Ботвиново, Чечерский р-н, Гомельская обл.",
138,Ботовский ФАП,https://healthcare.by/instinfo.php?orgnum=17503,Ботово,ФАП,FAP,"ул. Советская, 38, 225735, д. Ботово, Пинский р-н, Брестская обл.",
139,Бохановский ФАП,https://healthcare.by/instinfo.php?orgnum=16652,Боханы,ФАП,FAP,"213661, д. Боханы, Хотимский р-н, Могилевская обл.",
140,Бояничский ФАП,https://healthcare.by/instinfo.php?orgnum=15369,Бояничи,ФАП,FAP,"ул. Суворова, 2, 223860, д. Бояничи, Любанский р-н, Минская обл.",
141,Боярский ФАП,https://healthcare.by/instinfo.php?orgnum=17248,Бояры,ФАП,FAP,"д. Бояры, Вилейский р-н, Минская обл.",
142,Браздетченский ФАП,https://healthcare.by/instinfo.php?orgnum=15277,Браздетчино,ФАП,FAP,"211082, д. Браздетчино, Оршанский р-н, Витебская обл.",
143,Братковский ФАП,https://healthcare.by/instinfo.php?orgnum=15560,Братково,ФАП,FAP,"д. Братково, Копыльский р-н, Минская обл.",
144,Братский ФАП,https://healthcare.by/instinfo.php?orgnum=15984,Братское,ФАП,FAP,"ул. Дорожная, 20, 247802, д. Братское, Наровлянский р-н, Гомельская обл.",
145,Брашевичская амбулатория общей практики,https://healthcare.by/instinfo.php?orgnum=26815,Брашевичи,Амбулатория,Outpatient Clinic,"ул. Школьная, 1, 225833, д. Брашевичи, Дрогичинский р-н, Брестская обл.",
146,Бриневский ФАП,https://healthcare.by/instinfo.php?orgnum=16033,Бринёв,ФАП,FAP,"ул. Гагарина, 50, 247947, д. Бринёв, Петриковский р-н, Гомельская обл.",
147,Бровковский ФАП,https://healthcare.by/instinfo.php?orgnum=17078,Бровки,ФАП,FAP,"ул. Центральная, 1, д. Бровки, Минский р-н, Минская обл.",
148,Бродницкий ФАП,https://healthcare.by/instinfo.php?orgnum=18100,Бродница,ФАП,FAP,"ул. Новая, 31а, 225668, д. Бродница, Лунинецкий р-н, Брестская обл.",
149,Бродовский ФАП,https://healthcare.by/instinfo.php?orgnum=17410,Броды,ФАП,FAP,"ул. Мира, 92, 225173, д. Броды, Пружанский р-н, Брестская обл.",
150,Бродовский ФАП,https://healthcare.by/instinfo.php?orgnum=16893,Броды,ФАП,FAP,"ул. Спортивная, 54, 222143, д. Броды, Борисовский р-н, Минская обл.",
151,Брожский ФАП,https://healthcare.by/instinfo.php?orgnum=15875,Брожа,ФАП,FAP,"ул. Ленинская, 11а, 213833, п. Брожа, Бобруйский р-н, Могилевская обл.",
152,Брольникский ФАП,https://healthcare.by/instinfo.php?orgnum=16800,Брольники,ФАП,FAP,"ул. Центральная, 12а, 231404, д. Брольники, Новогрудский р-н, Гродненская обл.",
153,Брониславский ФАП,https://healthcare.by/instinfo.php?orgnum=21941,Бронислав,ФАП,FAP,"ул. Первомайская, 1, д. Бронислав, Житковичский р-н, Гомельская обл.",
154,Бронненский ФАП,https://healthcare.by/instinfo.php?orgnum=16084,Бронное,ФАП,FAP,"ул. Колхозная, 6, 247516, д. Бронное, Речицкий р-н, Гомельская обл.",
155,Бронногорский ФАП,https://healthcare.by/instinfo.php?orgnum=17146,Бронная Гора,ФАП,FAP,"здание общежития в/ч 67878, 225213, д. Бронная Гора, Березовский р-н, Брестская обл.",
