,facility_title,link,settlement,facility_type,facility_type_eng,address,website
3058,Осовецкая УБ,https://healthcare.by/instinfo.php?orgnum=15018,Осовец,Больница,Hospital,"ул. Советская, 6, 247764, д. Осовец, Мозырский р-н, Гомельская обл.",
3059,Остринская городская больница с поликлиникой,https://healthcare.by/instinfo.php?orgnum=5969,Острино,Больница,Hospital,"ул. Кирова, 56, 231536, г.п. Острино, Щучинский р-н, Гродненская обл.",
3060,Островецкая ЦРКБ,https://healthcare.by/instinfo.php?orgnum=5842,Островец,Больница,Hospital,"пр. Энергетиков, 1, 231202, г.п. Островец, Гродненская обл.",http://oscrkb.by
3061,Оховская участковая больница,https://healthcare.by/instinfo.php?orgnum=11870,Охово,Больница,Hospital,"ул. Школьная, 10, 225764, д. Охово, Пинский р-н, Брестская обл.",
3062,Ошмянская ЦРБ,https://healthcare.by/instinfo.php?orgnum=5856,Ошмяны,Больница,Hospital,"ул. Юбилейная, 9, 231103, г. Ошмяны, Гродненская обл.",http://oshmcrb.by
3063,Парафьяновская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=4046,Парафьяново,Амбулатория,Outpatient Clinic,"ул. Коммунистическая, д. 7, 211710, д. Парафьяново, Докшицкий р-н, Витебская обл.",
3064,Парижская больница сестринского ухода,https://healthcare.by/instinfo.php?orgnum=11917,Новодруцк,Больница,Hospital,"ул. Приречная, 1, 211836, д. Париж, Поставский р-н, Витебская обл.",
3065,Паричская городская больница,https://healthcare.by/instinfo.php?orgnum=5287,Паричи,Больница,Hospital,"ул. Больничная, 2, 247413, г.п. Паричи, Светлогорский р-н, Гомельская обл.",
3066,Парохонская участковая больница,https://healthcare.by/instinfo.php?orgnum=11873,Парохонск,Больница,Hospital,"ул. Пинская, 1, 225732, д. Осница, Пинский р-н, Брестская обл.",
3067,Пелищенская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=3302,Пелище,Амбулатория,Outpatient Clinic,"ул. Юхновичв, 38, 225054, д. Пелище, Каменецкий р-н, Брестская обл.",
3068,Первомайская участковая больница,https://healthcare.by/instinfo.php?orgnum=11517,Гольчицы,Больница,Hospital,"ул. Лесническая, 1, 223644, д. Гольчицы, Слуцкий р-н, Минская обл.",
3069,Первомайская участковая больница,https://healthcare.by/instinfo.php?orgnum=5782,Первомайский,Больница,Hospital,"231301, г.п. Первомайский, Лидский р-н, Гродненская обл.",
