,facility_title,link,settlement,facility_type,facility_type_eng,address,website,latitude,longitude
814,Косовский ФАП,https://healthcare.by/instinfo.php?orgnum=15541,Косовка,ФАП,FAP,"пер. Октябрьский, 11, 223316, д. Котово, Березинский р-н, Минская обл.",,53.952952,28.73239
815,Костеневский ФАП,https://healthcare.by/instinfo.php?orgnum=17047,Костени,ФАП,FAP,"231802, д. Костени, Слонимский р-н, Гродненская обл.",,53.036352,25.27464
816,Костешовский ФАП,https://healthcare.by/instinfo.php?orgnum=16851,Костеши,ФАП,FAP,"ул. Олимпийская, 4, 223404, д. Костеши, Узденский р-н, Минская обл.",,53.351295,27.052459
817,Костинский ФАП,https://healthcare.by/instinfo.php?orgnum=16438,Костинка,ФАП,FAP,"ул. Культурная, 4, 213103, д. Костинка, Могилевский р-н, Могилевская обл.",,53.730214,30.463758
818,Костровичский ФАП,https://healthcare.by/instinfo.php?orgnum=17067,Костровичи,ФАП,FAP,"231809, д. Костровичи, Слонимский р-н, Гродненская обл.",,53.204223,25.144384
819,Костюковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16269,Костюковичи,ФАП,FAP,"ул. Я.Колоса, 2, 247769, д. Костюковичи, Мозырский р-н, Гомельская обл.",,52.109974,29.020497
820,Костюшковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16393,Костюшковичи,ФАП,FAP,"ул. Центральная, 12, 213502, д. Костюшковичи, Кричевский р-н, Могилевская обл.",,53.701321,31.584855
821,Котовский ФАП,https://healthcare.by/instinfo.php?orgnum=15076,Котово,ФАП,FAP,"д. Котово, Витебский р-н, Витебская обл.",,55.222179,30.614809
822,Кошарский ФАП,https://healthcare.by/instinfo.php?orgnum=16146,Кошара,ФАП,FAP,"247283, д. Кошара, Рогачевский р-н, Гомельская обл.",,53.089958,29.830185
823,Кошевичский ФАП,https://healthcare.by/instinfo.php?orgnum=17509,Кошевичи,ФАП,FAP,"ул. Центральная, 1а, 225765, д. Кошевичи, Пинский р-н, Брестская обл.",,52.173286,26.003865
824,Кошелевский ФАП,https://healthcare.by/instinfo.php?orgnum=15649,Кошелево,ФАП,FAP,"247370, д. Кошелево, Буда-Кошелевский р-н, Гомельская обл.",,52.740764,30.603751
825,Кощичский ФАП,https://healthcare.by/instinfo.php?orgnum=15882,Кощичи,ФАП,FAP,"ул. Победы, 219, 247746, д. Кощичи, Калинковичский р-н, Гомельская обл.",,52.33113,29.284189
826,Кравцовский ФАП,https://healthcare.by/instinfo.php?orgnum=15715,Кравцовка,ФАП,FAP,"ул. Первомайская, 10, 247019, д. Кравцовка, Гомельский р-н, Гомельская обл.",,52.106959,31.041204
827,Краглевичский ФАП,https://healthcare.by/instinfo.php?orgnum=17883,Краглевичи,ФАП,FAP,"д. Краглевичи, Ивацевичский р-н, Брестская обл.",,52.474436,25.827481
828,Крайский ФАП,https://healthcare.by/instinfo.php?orgnum=17871,Краи,ФАП,FAP,"д. Краи, Ивацевичский р-н, Брестская обл.",,52.49493,26.002778
829,Краковский ФАП,https://healthcare.by/instinfo.php?orgnum=16981,Краковка,ФАП,FAP,"ул. Советская, 33, 231103, д. Краковка, Ошмянский р-н, Гродненская обл.",,54.442727,25.994783
830,Красненский ФАП,https://healthcare.by/instinfo.php?orgnum=16601,Красное,ФАП,FAP,"ул. Набережная, 4, 213760, д. Красное, Осиповичский р-н, Могилевская обл.",,53.427996,28.519013
831,Красницкий ФАП,https://healthcare.by/instinfo.php?orgnum=16133,Красница,ФАП,FAP,"247274, д. Красница, Рогачевский р-н, Гомельская обл.",,53.047695,30.373055
832,Красно-Будский ФАП,https://healthcare.by/instinfo.php?orgnum=15745,Красная Буда,ФАП,FAP,"ул. 70 лет Октября, 27, 247055, д. Красная Буда, Добрушский р-н, Гомельская обл.",,52.213471,31.435394
833,Красно-Знаменский ФАП,https://healthcare.by/instinfo.php?orgnum=15658,Красное Знамя,ФАП,FAP,"247388, д. Красное Знамя, Буда-Кошелевский р-н, Гомельская обл.",,52.591142,30.775464
834,Красно-Партизанский ФАП,https://healthcare.by/instinfo.php?orgnum=15751,Красный Партизан,ФАП,FAP,"ул. 70 лет Октября, 27, 247078, д. Красный Партизан, Добрушский р-н, Гомельская обл.",,52.255829,31.24858
835,Красно-Слободский ФАП,https://healthcare.by/instinfo.php?orgnum=15827,Красная Слобода,ФАП,FAP,"213168, д. Красная Слобода, Белыничский р-н, Могилевская обл.",,53.845323,29.795258
836,Краснобережский ФАП,https://healthcare.by/instinfo.php?orgnum=15941,Краснобережье,ФАП,FAP,"ул. Лельчицкая, 11, 247861, д. Краснобережье, Лельчицкий р-н, Гомельская обл.",,51.876423,28.438174
837,Краснобережский ФАП,https://healthcare.by/instinfo.php?orgnum=15997,Красный Берег,ФАП,FAP,"213371, д. Красный Берег, Быховский р-н, Могилевская обл.",,53.331123,30.191613
838,Красновский ФАП,https://healthcare.by/instinfo.php?orgnum=15996,Красновка,ФАП,FAP,"ул. Школьная, 37, 247802, д. Красновка, Наровлянский р-н, Гомельская обл.",,51.457146,29.351814
839,Красногорский ФАП,https://healthcare.by/instinfo.php?orgnum=16486,Подлужье,ФАП,FAP,"213474, д. Подлужье, Мстиславский р-н, Могилевская обл.",,54.003633,31.546614
840,Красногрудский ФАП,https://healthcare.by/instinfo.php?orgnum=16515,Красный Груд,ФАП,FAP,"231906, д. Красный Груд, 38а, Волковысский р-н, Гродненская обл.",,53.241649,24.239637
841,Краснодарский ФАП,https://healthcare.by/instinfo.php?orgnum=14859,Красный Дар,ФАП,FAP,"ул. Северная, д. 1, 223219, аг. Красный Дар, Червенский р-н, Минская обл.",,53.84068,28.661836
842,Краснодворский ФАП,https://healthcare.by/instinfo.php?orgnum=17344,Краснодворцы,ФАП,FAP,"пер. Садовый, 2а, 223732, д. Краснодворцы, Солигорский р-н, Минская обл.",,52.808109,27.441053
843,Краснодубравский ФАП,https://healthcare.by/instinfo.php?orgnum=15570,Красная Дуброва,ФАП,FAP,"д. Красная Дуброва, Копыльский р-н, Минская обл.",,53.153163,27.426069
844,Краснозвездовский ФАП,https://healthcare.by/instinfo.php?orgnum=14951,Красная Звезда,ФАП,FAP,"ул. Парковая, 8, 222642, д. Красная Звезда, Клецкий р-н, Минская обл.",,53.009952,26.677305
845,Краснооктябрьский ФАП,https://healthcare.by/instinfo.php?orgnum=15131,Красный Октябрь,ФАП,FAP,"д. Красный Октябрь, Пуховичский р-н, Минская обл.",,53.5097,28.399483
846,Краснослабодский ФАП,https://healthcare.by/instinfo.php?orgnum=23306,Красная Слобода,ФАП,FAP,"ул. Школьная, 75, 247744, д. Красная Слобода, Калинковичский р-н, Гомельская обл.",,52.445902,29.367247
847,Краснослободский ФАП,https://healthcare.by/instinfo.php?orgnum=15973,Красная Слобода,ФАП,FAP,"213341, д. Красная Слобода, Быховский р-н, Могилевская обл.",,53.447028,30.52655
848,Красноутренский ВАП,https://healthcare.by/instinfo.php?orgnum=17705,Красное Утро,Амбулатория,Outpatient Clinic,"211160, пос. Красное Утро, Чашникский р-н, Витебская обл.",,54.810045,29.148822
849,Краснянский ФАП,https://healthcare.by/instinfo.php?orgnum=16924,Красное,ФАП,FAP,"223147, д. Красное, Логойский р-н, Минская обл.",,54.570833,27.669162
850,Красулинский ФАП,https://healthcare.by/instinfo.php?orgnum=27216,Красулино,ФАП,FAP,"ул. Советская 5а, 213406, д. Красулино, Горецкий р-н, Могилевская обл.",,54.38772,30.937457
851,Крейванцевский ФАП,https://healthcare.by/instinfo.php?orgnum=16985,Крейванцы,ФАП,FAP,"ул. З. Слонко, 3, 231115, д. Крейванцы, Ошмянский р-н, Гродненская обл.",,54.391495,25.747773
852,Кремновский ФАП,https://healthcare.by/instinfo.php?orgnum=17761,Кремно,ФАП,FAP,"ул. Советская, 22, 225848, д. Кремно, Дрогичинский р-н, Брестская обл.",,52.268116,25.318756
853,Кривоносовский ФАП,https://healthcare.by/instinfo.php?orgnum=17029,Кривоносы,ФАП,FAP,"222914, ул. Советская, 18, д. Кривоносы, Стародорожский р-н, Минская обл.",,52.887887,28.390204
854,Кривосельский ФАП,https://healthcare.by/instinfo.php?orgnum=17278,Кривое Село,ФАП,FAP,"ул. Первомайская, 1, д. Кривое Село, Вилейский р-н, Минская обл.",,54.526346,27.045857
855,Кривосельский ФАП,https://healthcare.by/instinfo.php?orgnum=15513,Кривое Село,ФАП,FAP,"ул. Гайдыма, 5, 211365, д. Кривое Село, Шумилинский р-н, Витебская обл.",,55.142802,29.579851
856,Кривчанский ФАП,https://healthcare.by/instinfo.php?orgnum=22882,Кривча,ФАП,FAP,"ул. Советская, 10, 247641, д. Кривча, Брагинский р-н, Гомельская обл.",,51.743345,30.428077
857,Криницкий ФАП,https://healthcare.by/instinfo.php?orgnum=17412,Криница,ФАП,FAP,"ул. Советская, 11, 225176, д. Криница, Пружанский р-н, Брестская обл.",,52.607174,24.110764
858,Криницкий ФАП,https://healthcare.by/instinfo.php?orgnum=16830,Крыница,ФАП,FAP,"ул. Молодежная, д. 4, 231307, д. Крыница, Лидский р-н, Гродненская обл.",,53.805914,25.279113
859,Крипульский ФАП,https://healthcare.by/instinfo.php?orgnum=15210,Крипули,ФАП,FAP,"пер. Школьный, 1, 211725, д. Крипули, Докшицкий р-н, Витебская обл.",,54.785133,27.63154
860,Кротовский ФАП,https://healthcare.by/instinfo.php?orgnum=17806,Кротово,ФАП,FAP,"ул. Полевая, 1, 225804, д. Кротово, Ивановский р-н, Брестская обл.",,52.234434,25.761257
861,Круглицкий ФАП,https://healthcare.by/instinfo.php?orgnum=15483,Круглица,ФАП,FAP,"ул. Парковая, 15, 211140, д. Круглица, Чашникский р-н, Витебская обл.",,54.777708,29.317957
862,Круглянский ФАП,https://healthcare.by/instinfo.php?orgnum=15421,Кругляны,ФАП,FAP,"д. Кругляны, Сенненский р-н, Витебская обл.",,54.808872,29.908096
863,Крупейский ФАП,https://healthcare.by/instinfo.php?orgnum=15968,Крупейки,ФАП,FAP,"247111, ул. Советская, 25, д. Крупейки, Лоевский р-н, Гомельская обл.",,51.914827,30.729156
864,Круповский ФАП,https://healthcare.by/instinfo.php?orgnum=17119,Крупово,ФАП,FAP,"д. Крупово, 231550, Щучинский р-н, Гродненская обл.",,53.48491,24.844697
865,Круповский ФАП,https://healthcare.by/instinfo.php?orgnum=16810,Крупово,ФАП,FAP,"ул. Школьная, д. 3, 231320, д. Крупово, Лидский р-н, Гродненская обл.",,53.933301,25.185841
866,Крупский ФАП,https://healthcare.by/instinfo.php?orgnum=15344,Крупский,ФАП,FAP,"ул. Лесная, 11, 222020, п. Крупский, Крупский р-н, Минская обл.",,54.303723,29.069195
867,Крутиловичский ФАП,https://healthcare.by/instinfo.php?orgnum=16547,Крутиловичи,ФАП,FAP,"231468, д. Крутиловичи, Дятловский р-н, Гродненская обл.",,53.460181,25.660232
868,Крушиновский ФАП,https://healthcare.by/instinfo.php?orgnum=24295,Крушиновка,ФАП,FAP,"247287, д. Крушиновка, Рогачевский р-н, Гомельская обл.",,53.238243,29.827301
869,Крынковская врачебная амбулатория общей практики,https://healthcare.by/instinfo.php?orgnum=15240,Крынки,Амбулатория,Outpatient Clinic,"211213, д. Крынки, Лиозненский р-н, Витебская обл.",,55.019609,30.690744
870,Крынковский ФАП,https://healthcare.by/instinfo.php?orgnum=16100,Крынки,ФАП,FAP,"ул. Школьная, 79а, 247554, д. Крынки, Речицкий р-н, Гомельская обл.",,52.351917,30.069748
871,Крюковичский ФАП,https://healthcare.by/instinfo.php?orgnum=15883,Крюковичи,ФАП,FAP,"ул. Ленина, 6, 247741, д. Крюковичи, Калинковичский р-н, Гомельская обл.",,52.440616,29.188276
872,Кубелевщинский ФАП,https://healthcare.by/instinfo.php?orgnum=15505,Кубелевщина,ФАП,FAP,"211901, д. Кубелевщина, Шарковщинский р-н, Витебская обл.",,55.470469,27.450009
873,Кубличский ФАП,https://healthcare.by/instinfo.php?orgnum=15461,Кубличи,ФАП,FAP,"Кубличский с/с, ул. Школьная, 2, 211487, д. Кубличи, Ушачский р-н, Витебская обл.",,55.15981,28.342296
874,Кудаевский ФАП,https://healthcare.by/instinfo.php?orgnum=15286,Митьковщина,ФАП,FAP,"ул. Центральная, 8, 211022, д. Митьковщина, Оршанский р-н, Витебская обл.",,54.57516,30.515644
875,Кудинский ФАП,https://healthcare.by/instinfo.php?orgnum=15837,Малый Кудин,ФАП,FAP,"213163, д. Малый Кудин, Белыничский р-н, Могилевская обл.",,54.028307,29.812237
876,Кузьковичский ФАП,https://healthcare.by/instinfo.php?orgnum=15958,Кузьковичи,ФАП,FAP,"213350, д. Кузьковичи, Быховский р-н, Могилевская обл.",,53.555443,30.43679
877,Кузьминичский ФАП,https://healthcare.by/instinfo.php?orgnum=15750,Кузьминичи,ФАП,FAP,"ул. Юбилейная, 5, 247081, д. Кузьминичи, Добрушский р-н, Гомельская обл.",,52.350542,31.603666
878,Кузьмичский ФАП,https://healthcare.by/instinfo.php?orgnum=17242,Кузьмичи,ФАП,FAP,"д. Кузьмичи, Вилейский р-н, Минская обл.",,54.611758,26.945416
879,Куковский ФАП,https://healthcare.by/instinfo.php?orgnum=17729,Куково,ФАП,FAP,"ул. Коммунистическая, 2Б, 225457, д. Куково, Ганцевичский р-н, Брестская обл.",,52.816274,26.550005
880,Куликовский ФАП,https://healthcare.by/instinfo.php?orgnum=20509,Кулики,ФАП,FAP,"ул. Зеленая, 3, 223229, д. Кулики, Червенский р-н, Минская обл.",,53.752059,27.911949
881,Кульской ФАП,https://healthcare.by/instinfo.php?orgnum=25703,Куль,ФАП,FAP,"д. Куль, Столбцовский р-н, Минская обл.",,53.798884,26.743969
882,Купельский ФАП,https://healthcare.by/instinfo.php?orgnum=16454,Купелы,ФАП,FAP,"ул. Центральная, 213121, д. Купелы, Могилевский р-н, Могилевская обл.",,54.033252,30.319434
883,Куписский ФАП,https://healthcare.by/instinfo.php?orgnum=16754,Куписк,ФАП,FAP,"231425, д. Куписк, Новогрудский р-н, Гродненская обл.",,53.735732,26.15144
884,Куповецкий ФАП,https://healthcare.by/instinfo.php?orgnum=18108,Куповцы,ФАП,FAP,"ул. Речная, 16а, 225674, д. Куповцы, Лунинецкий р-н, Брестская обл.",,52.318251,26.862448
885,Курганский ФАП,https://healthcare.by/instinfo.php?orgnum=16148,Курганье,ФАП,FAP,"247272, д. Курганье, Рогачевский р-н, Гомельская обл.",,53.116633,30.223926
886,Куропольский ФАП,https://healthcare.by/instinfo.php?orgnum=18369,Курополье,ФАП,FAP,"211875, д. Курополье, Поставский р-н, Витебская обл.",,55.223971,26.869023
887,Куршиновичский ФАП,https://healthcare.by/instinfo.php?orgnum=18076,Куршиновичи,ФАП,FAP,"ул. Колхозная, 2, 225393, д. Куршиновичи, Ляховичский р-н, Брестская обл.",,52.886752,26.321698
888,Кухтичский ФАП,https://healthcare.by/instinfo.php?orgnum=16852,Кухтичи,ФАП,FAP,"ул. Зеленая, 18, 223404, д. Кухтичи, Узденский р-н, Минская обл.",,53.462164,27.136838
889,Кухчицкий ФАП,https://healthcare.by/instinfo.php?orgnum=14966,Кухчицы,ФАП,FAP,"ул. Коммунистическая, 5, 222650, д. Кухчицы, Клецкий р-н, Минская обл.",,53.035789,26.571825
890,Кучинский ФАП,https://healthcare.by/instinfo.php?orgnum=16004,Кучин,ФАП,FAP,"213341, д. Кучин, Быховский р-н, Могилевская обл.",,53.678335,29.97078
891,Кучкуновский ФАП,https://healthcare.by/instinfo.php?orgnum=16979,Яблоновка,ФАП,FAP,"ул. Пушкина, 9, 222700, д. Яблоновка, Столбцовский р-н, Минская обл.",,53.521099,26.829794
892,Кушликовский ФАП,https://healthcare.by/instinfo.php?orgnum=15307,Кушлики,ФАП,FAP,"211428, д. Кушлики, Полоцкий р-н, Витебская обл.",,55.565519,28.39854
893,Кушнеровский ФАП,https://healthcare.by/instinfo.php?orgnum=17838,Кушнеры,ФАП,FAP,"д. Кушнеры, Ивацевичский р-н, Брестская обл.",,52.754729,25.300852
894,Лавриновичский ФАП,https://healthcare.by/instinfo.php?orgnum=17647,Лавриновичи,ФАП,FAP,"ул. Несвижская, 53, 225360, д. Лавриновичи, Барановичский р-н, Брестская обл.",,53.152175,26.135459
895,Лавришевский ФАП,https://healthcare.by/instinfo.php?orgnum=16798,Лавришево,ФАП,FAP,"д. Лаврушево, Новогрудский р-н, Гродненская обл.",,53.660272,25.866944
896,Лагвощанский ФАП,https://healthcare.by/instinfo.php?orgnum=15779,Лагвощи,ФАП,FAP,"247971, д. Лагвощи, Житковичский р-н, Гомельская обл.",,52.251297,27.596802
897,Лагуновский ФАП,https://healthcare.by/instinfo.php?orgnum=15755,Лагуны,ФАП,FAP,"ул. Ленина, 81Б, 247076, д. Лагуны, Добрушский р-н, Гомельская обл.",,52.306606,31.263941
898,Ладеникский ФАП,https://healthcare.by/instinfo.php?orgnum=16734,Ладеники,ФАП,FAP,"ул. Новогрудская, 1а, 231411, д. Ладеники, Новогрудский р-н, Гродненская обл.",,53.635053,25.768731
899,Ладорожский ФАП,https://healthcare.by/instinfo.php?orgnum=17487,Ладорож,ФАП,FAP,"225714, д. Ладорож, Пинский р-н, Брестская обл.",,51.892672,26.180905
900,Лазурный ФАП,https://healthcare.by/instinfo.php?orgnum=16982,Старинка,ФАП,FAP,"213414, д. Старинка, Горецкий р-н, Могилевская обл.",,54.227043,30.92666
901,Ламбовский ФАП,https://healthcare.by/instinfo.php?orgnum=15894,Ламбово,ФАП,FAP,"213853, д. Ламбово, Бобруйский р-н, Могилевская обл.",,53.005715,29.434109
902,Ланьковский ФАП,https://healthcare.by/instinfo.php?orgnum=15819,Ланьково,ФАП,FAP,"213161, д. Ланьково, Белыничский р-н, Могилевская обл.",,54.047327,29.750927
903,Лариновский ФАП,https://healthcare.by/instinfo.php?orgnum=15289,Лариновка,ФАП,FAP,"ул. Мирная, 8, 211020, д. Лариновка, Оршанский р-н, Витебская обл.",,54.522954,30.472912
904,Ларищанский ФАП,https://healthcare.by/instinfo.php?orgnum=15736,Ларищево,ФАП,FAP,"ул. Ленинская, 18, 247060, д. Ларищево, Добрушский р-н, Гомельская обл.",,52.392071,31.216276
905,Ларьяновский ФАП,https://healthcare.by/instinfo.php?orgnum=16489,Ларьяново,ФАП,FAP,"213479, д. Ларьяново, Мстиславский р-н, Могилевская обл.",,53.956513,31.719603
906,Латыголичский ФАП,https://healthcare.by/instinfo.php?orgnum=15484,Латыголичи,ФАП,FAP,"ул. Школьная, 5, 211152, д. Латыголичи, Чашникский р-н, Витебская обл.",,54.616455,28.70924
907,Лаховский ФАП,https://healthcare.by/instinfo.php?orgnum=18111,Лаховка,ФАП,FAP,"ул. Липской, 2, 225663, д. Лаховка, Лунинецкий р-н, Брестская обл.",,52.193755,27.152918
908,Лебедянковский ФАП,https://healthcare.by/instinfo.php?orgnum=15823,Лебедянка,ФАП,FAP,"213168, д. Лебедянка, Белыничский р-н, Могилевская обл.",,53.906538,29.838252
909,Левашовский ФАП,https://healthcare.by/instinfo.php?orgnum=16102,Леваши,ФАП,FAP,"ул. Школьная, 3/2, 247509, д. Леваши, Речицкий р-н, Гомельская обл.",,52.34366,30.083636
910,Левковичский ФАП,https://healthcare.by/instinfo.php?orgnum=16216,Левковичи,ФАП,FAP,"ул. Дзержинского, 12, д. Левковичи, Кировский р-н, Могилевская обл.",,53.183911,29.675414
911,Левковщинский ФАП,https://healthcare.by/instinfo.php?orgnum=16689,Левковщина,ФАП,FAP,"ул. Центральная, 1, 213213, д. Левковщина, Чаусский р-н, Могилевская обл.",,53.877025,30.906178
912,Лединский ФАП,https://healthcare.by/instinfo.php?orgnum=16535,Лядины,ФАП,FAP,"д. Лядины, Дятловский р-н, Гродненская обл.",,53.441788,25.398086
913,Лежневичский ФАП,https://healthcare.by/instinfo.php?orgnum=16697,Лежневичи,ФАП,FAP,"ул. Центральная, 52Б, 231367, д. Лежневичи, Ивьевский р-н, Гродненская обл.",,53.898156,26.061564
914,Леликовский ФАП,https://healthcare.by/instinfo.php?orgnum=17972,Леликово,ФАП,FAP,"ул. Первомайская, 9, 225878, д. Леликово, Кобринский р-н, Брестская обл.",,51.923976,24.696619
915,Лелюкинский ФАП,https://healthcare.by/instinfo.php?orgnum=16643,Лелюки,ФАП,FAP,"ул. Центральная, 15, 231365, д. Лелюки, Ивьевский р-н, Гродненская обл.",,54.010882,25.925074
916,Ленинский ФАП,https://healthcare.by/instinfo.php?orgnum=17908,Ленино,ФАП,FAP,"213567, д. Ленино, Краснопольский р-н, Могилевская обл.",,53.295476,31.407528
917,Ленинский ФАП,https://healthcare.by/instinfo.php?orgnum=15752,Ленино,ФАП,FAP,"ул. Молодежная, 4, 247083, д. Ленино, Добрушский р-н, Гомельская обл.",,52.429888,31.299847
918,Леоновичский ФАП,https://healthcare.by/instinfo.php?orgnum=16552,Леоновичи,ФАП,FAP,"231481, д. Леоновичи, Дятловский р-н, Гродненская обл.",,53.441788,25.398086
919,Лепесовский ФАП,https://healthcare.by/instinfo.php?orgnum=18073,Лепесы,ФАП,FAP,"ул. Фальковского, 25, 225860, д. Лепесы, Кобринский р-н, Брестская обл.",,52.238499,24.379837
920,Леплевский ФАП,https://healthcare.by/instinfo.php?orgnum=17578,Леплевка,ФАП,FAP,"ул. Широкая, 47, 225020, д. Леплевка, Брестский р-н, Брестская обл.",,51.762876,23.656666
921,Лесецкий ФАП,https://healthcare.by/instinfo.php?orgnum=15885,Лесец,ФАП,FAP,"ул. Минская. 32, 247743, д. Лесец, Калинковичский р-н, Гомельская обл.",,52.491942,29.291456
922,Лесковичский ФАП,https://healthcare.by/instinfo.php?orgnum=17161,Лесковичи,ФАП,FAP,"ул. Черняковская, 41, 225228, д. Лесковичи, Березовский р-н, Брестская обл.",,52.325247,24.922212
923,Лесновский ФАП,https://healthcare.by/instinfo.php?orgnum=15576,Лесное,ФАП,FAP,"д. Лесное, Копыльский р-н, Минская обл.",,53.11426,27.078115
924,Летковский ФАП,https://healthcare.by/instinfo.php?orgnum=17155,Летковщина,ФАП,FAP,"ул. Луговая, 6, д. Летковщина, Слуцкий р-н, Минская обл.",,53.041658,27.630292
925,Летчанский ФАП,https://healthcare.by/instinfo.php?orgnum=15079,Большие Летцы,ФАП,FAP,"ул. Советская, 43, д. Большие Летцы, Витебский р-н, Витебская обл.",http://vgcp.by,55.196485,29.970888
926,Лешницкий ФАП,https://healthcare.by/instinfo.php?orgnum=15533,Лешница,ФАП,FAP,"ул. Школьная, 4, 223317, д. Лешница, Березинский р-н, Минская обл.",,53.892076,28.978214
927,Лешнянский ФАП,https://healthcare.by/instinfo.php?orgnum=16275,Лешня,ФАП,FAP,"ул. Советская, 70, 247761, д. Лешня, Мозырский р-н, Гомельская обл.",,52.058295,28.813885
928,Лешнянский ФАП,https://healthcare.by/instinfo.php?orgnum=15561,Лешня,ФАП,FAP,"д. Лешня, Копыльский р-н, Минская обл.",,53.0085,26.997222
929,Липиничский ФАП,https://healthcare.by/instinfo.php?orgnum=15650,Липиничи,ФАП,FAP,"247357, д. Липиничи, Буда-Кошелевский р-н, Гомельская обл.",,52.809361,30.550418
930,Липкунцевский ФАП,https://healthcare.by/instinfo.php?orgnum=16557,Липкунцы,ФАП,FAP,"231395, д. Липкунцы, Вороновский р-н, Гродненская обл.",,53.964914,24.892784
931,Липлянский ФАП,https://healthcare.by/instinfo.php?orgnum=15937,Липляны,ФАП,FAP,"ул. Каширцева, 1, 247860, д. Липляны, Лельчицкий р-н, Гомельская обл.",,51.812487,28.380035
932,Липниковский ФАП,https://healthcare.by/instinfo.php?orgnum=17508,Липники,ФАП,FAP,"ул. Дзержинского, 29, 225736, п/о Плоскинь, д. Липники, Пинский р-н, Брестская обл.",,52.469186,26.181507
933,Липникский ФАП,https://healthcare.by/instinfo.php?orgnum=17763,Липники,ФАП,FAP,"ул. Центральная, 48, 225845, д. Липники, Дрогичинский р-н, Брестская обл.",,52.150586,25.070973
934,Липовский ФАП,https://healthcare.by/instinfo.php?orgnum=17954,Липовка,ФАП,FAP,"213664, д. Липовка, Хотимский р-н, Могилевская обл.",,53.40529,32.514791
935,Липский ФАП,https://healthcare.by/instinfo.php?orgnum=17732,Липск,ФАП,FAP,"ул. Советская, 49, 225445, д. Липск, Ганцевичский р-н, Брестская обл.",,52.550732,26.695119
936,Лисковский ФАП,https://healthcare.by/instinfo.php?orgnum=16103,Лиски,ФАП,FAP,"ул. Советская, 56а, 247533, д. Лиски, Речицкий р-н, Гомельская обл.",,52.36912,30.391569
937,Лисовичский ФАП,https://healthcare.by/instinfo.php?orgnum=15211,Лисовичи,ФАП,FAP,"д. Лисовичи, Докшицкий р-н, Витебская обл.",,54.975532,27.523545
938,Листопадовичский ФАП,https://healthcare.by/instinfo.php?orgnum=17334,Листопадовичи,ФАП,FAP,"ул. Юбилейная, 4, 223730, д. Листопадовичи, Солигорский р-н, Минская обл.",,52.73951,27.520491
939,Лисуновский ФАП,https://healthcare.by/instinfo.php?orgnum=15288,Лисуны,ФАП,FAP,"ул. Центральная, 211007, д. Лисуны, Оршанский р-н, Витебская обл.",,54.620209,30.311368
940,Литвиновичская АВОП,https://healthcare.by/instinfo.php?orgnum=15909,Литвиновичи,Амбулатория,Outpatient Clinic,"ул. Лепешинского, 109а, 247172, д. Литвиновичи, Кормянский р-н, Гомельская обл.",,53.191411,30.871692
941,Литвинский ФАП,https://healthcare.by/instinfo.php?orgnum=16949,Литва,ФАП,FAP,"д. Литва, Столбцовский р-н, Минская обл.",,53.772982,26.806258
942,Литвянский ФАП,https://healthcare.by/instinfo.php?orgnum=16853,Литвяны,ФАП,FAP,"ул. Школьная, 11, 223411, аг. Литвяны, Узденский р-н, Минская обл.",,53.511986,27.143288
943,Литовский ФАП,https://healthcare.by/instinfo.php?orgnum=17764,Литовск,ФАП,FAP,"ул. Новая, 7, 225831, д. Литовск, Дрогичинский р-н, Брестская обл.",,52.170933,24.995138
944,Литовский ФАП,https://healthcare.by/instinfo.php?orgnum=17616,Литовцы,ФАП,FAP,"211700, д. Литовцы, Докшицкий р-н, Витебская обл.",,54.982786,27.747243
945,Лобановский ФАП,https://healthcare.by/instinfo.php?orgnum=16733,Лобановка,ФАП,FAP,"213543, д. Лобановка, Чериковский р-н, Могилевская обл.",,53.597493,31.394763
946,Лобжанский ФАП,https://healthcare.by/instinfo.php?orgnum=16240,Лобжа,ФАП,FAP,"213601, д. Лобжа, Климовичский р-н, Могилевская обл.",,53.610957,32.089035
947,Лобчанский ФАП,https://healthcare.by/instinfo.php?orgnum=16765,Лобча,ФАП,FAP,"213546, д. Лобча, Чериковский р-н, Могилевская обл.",,53.606662,31.196397
948,Лобчанский ФАП,https://healthcare.by/instinfo.php?orgnum=18112,Лобча,ФАП,FAP,"ул. Школьная, 4, 225673, д. Лобча, Лунинецкий р-н, Брестская обл.",,52.296688,26.642145
949,Логовищанский ФАП,https://healthcare.by/instinfo.php?orgnum=17297,Логовище,ФАП,FAP,"ул. Молодежная, 3, д. Логовище, Дзержинский р-н, Минская обл.",,53.533233,27.067632
950,Логовский ФАП,https://healthcare.by/instinfo.php?orgnum=15538,Логи,ФАП,FAP,"223311, д. Логи, Березинский р-н, Минская обл.",,53.857444,28.757138
951,Логозинский ФАП,https://healthcare.by/instinfo.php?orgnum=16911,Логоза,ФАП,FAP,"223120, д. Логоза, Логойский р-н, Минская обл.",,54.229127,27.761212
952,Лозовский ФАП,https://healthcare.by/instinfo.php?orgnum=16517,Лозы,ФАП,FAP,"231913, д. Лозы, Волковысский р-н, Гродненская обл.",,53.331908,24.359687
953,Локтышовский ФАП,https://healthcare.by/instinfo.php?orgnum=17733,Локтыши,ФАП,FAP,"ул. Мира, 20, 225442, д. Локтыши, Ганцевичский р-н, Брестская обл.",,52.832827,26.720047
