,facility_title,link,settlement,facility_type,facility_type_eng,address,website,latitude,longitude
138,Ботовский ФАП,https://healthcare.by/instinfo.php?orgnum=17503,Ботово,ФАП,FAP,"ул. Советская, 38, 225735, д. Ботово, Пинский р-н, Брестская обл.",,52.333888,26.306382
139,Бохановский ФАП,https://healthcare.by/instinfo.php?orgnum=16652,Боханы,ФАП,FAP,"213661, д. Боханы, Хотимский р-н, Могилевская обл.",,53.40529,32.514791
140,Бояничский ФАП,https://healthcare.by/instinfo.php?orgnum=15369,Бояничи,ФАП,FAP,"ул. Суворова, 2, 223860, д. Бояничи, Любанский р-н, Минская обл.",,52.715628,28.278435
141,Боярский ФАП,https://healthcare.by/instinfo.php?orgnum=17248,Бояры,ФАП,FAP,"д. Бояры, Вилейский р-н, Минская обл.",,54.462106,27.24619
142,Браздетченский ФАП,https://healthcare.by/instinfo.php?orgnum=15277,Браздетчино,ФАП,FAP,"211082, д. Браздетчино, Оршанский р-н, Витебская обл.",,54.449895,30.636387
143,Братковский ФАП,https://healthcare.by/instinfo.php?orgnum=15560,Братково,ФАП,FAP,"д. Братково, Копыльский р-н, Минская обл.",,53.11426,27.078115
144,Братский ФАП,https://healthcare.by/instinfo.php?orgnum=15984,Братское,ФАП,FAP,"ул. Дорожная, 20, 247802, д. Братское, Наровлянский р-н, Гомельская обл.",,51.449367,29.455884
145,Брашевичская амбулатория общей практики,https://healthcare.by/instinfo.php?orgnum=26815,Брашевичи,Амбулатория,Outpatient Clinic,"ул. Школьная, 1, 225833, д. Брашевичи, Дрогичинский р-н, Брестская обл.",,52.219645,25.011002
146,Бриневский ФАП,https://healthcare.by/instinfo.php?orgnum=16033,Бринёв,ФАП,FAP,"ул. Гагарина, 50, 247947, д. Бринёв, Петриковский р-н, Гомельская обл.",,52.187649,28.190903
147,Бровковский ФАП,https://healthcare.by/instinfo.php?orgnum=17078,Бровки,ФАП,FAP,"ул. Центральная, 1, д. Бровки, Минский р-н, Минская обл.",,54.046063,27.387648
148,Бродницкий ФАП,https://healthcare.by/instinfo.php?orgnum=18100,Бродница,ФАП,FAP,"ул. Новая, 31а, 225668, д. Бродница, Лунинецкий р-н, Брестская обл.",,52.298819,26.961963
149,Бродовский ФАП,https://healthcare.by/instinfo.php?orgnum=17410,Броды,ФАП,FAP,"ул. Мира, 92, 225173, д. Броды, Пружанский р-н, Брестская обл.",,52.47934,24.130518
150,Бродовский ФАП,https://healthcare.by/instinfo.php?orgnum=16893,Броды,ФАП,FAP,"ул. Спортивная, 54, 222143, д. Броды, Борисовский р-н, Минская обл.",,54.648328,28.229666
151,Брожский ФАП,https://healthcare.by/instinfo.php?orgnum=15875,Брожа,ФАП,FAP,"ул. Ленинская, 11а, 213833, п. Брожа, Бобруйский р-н, Могилевская обл.",,52.968944,29.113545
152,Брольникский ФАП,https://healthcare.by/instinfo.php?orgnum=16800,Брольники,ФАП,FAP,"ул. Центральная, 12а, 231404, д. Брольники, Новогрудский р-н, Гродненская обл.",,53.624758,25.981874
153,Брониславский ФАП,https://healthcare.by/instinfo.php?orgnum=21941,Бронислав,ФАП,FAP,"ул. Первомайская, 1, д. Бронислав, Житковичский р-н, Гомельская обл.",,52.208383,27.59665
154,Бронненский ФАП,https://healthcare.by/instinfo.php?orgnum=16084,Бронное,ФАП,FAP,"ул. Колхозная, 6, 247516, д. Бронное, Речицкий р-н, Гомельская обл.",,52.316704,30.475319
155,Бронногорский ФАП,https://healthcare.by/instinfo.php?orgnum=17146,Бронная Гора,ФАП,FAP,"здание общежития в/ч 67878, 225213, д. Бронная Гора, Березовский р-н, Брестская обл.",,52.608902,25.092066
156,Брылевский ФАП,https://healthcare.by/instinfo.php?orgnum=17926,Брили,ФАП,FAP,"ул. Юбилейная, 26, 213151, д. Брыли, Могилевский р-н, Могилевская обл.",,53.914165,30.558467
157,Бубновский ФАП,https://healthcare.by/instinfo.php?orgnum=17253,Бубны,ФАП,FAP,"ул. Молодежная, 28, д. Бубны, Вилейский р-н, Минская обл.",,54.750245,27.566583
158,Буда-Лельчицкий ФАП,https://healthcare.by/instinfo.php?orgnum=15930,Буда-Лельчицкая,ФАП,FAP,"ул. Школьная, 5, 247860, д. Буда-Лельчицкая, Лельчицкий р-н, Гомельская обл.",,51.849905,28.365742
159,Буда-Люшевский ФАП,https://healthcare.by/instinfo.php?orgnum=15645,Буда-Люшево,ФАП,FAP,"247350, д. Буда-Люшево, Буда-Кошелевский р-н, Гомельская обл.",,52.736478,30.568394
160,Буда-Софиевский ФАП,https://healthcare.by/instinfo.php?orgnum=15945,Буда-Софиевка,ФАП,FAP,"ул. Колхозная, 3, 247865, д. Буда-Софиевская, Лельчицкий р-н, Гомельская обл.",,51.998362,28.582425
161,Будаговский ФАП,https://healthcare.by/instinfo.php?orgnum=14875,Будагово,ФАП,FAP,"д. Будагово, Смолевичский р-н, Минская обл.",,53.995927,28.186924
162,Буденовский ФАП,https://healthcare.by/instinfo.php?orgnum=16965,Буденовка,ФАП,FAP,"ул. Октябрьская, 8/1-2, 231107, д. Буденовка, Ошмянский р-н, Гродненская обл.",,54.421748,25.897055
163,Будиловский ФАП,https://healthcare.by/instinfo.php?orgnum=11666,Будилово,ФАП,FAP,"ул. Школьная, 25, д. Будилово, Бешенковичский р-н, Витебская обл.",,55.048575,29.445832
164,Будищанский ФАП,https://healthcare.by/instinfo.php?orgnum=16433,Будище,ФАП,FAP,"213137, д. Будище, Могилевский р-н, Могилевская обл.",,53.86791,29.943588
165,Будневский ФАП,https://healthcare.by/instinfo.php?orgnum=27526,Буднев,ФАП,FAP,"213914, д. Буднев, Кличевский р-н, Могилевская обл.",,53.55226,29.380893
166,Будский ФАП,https://healthcare.by/instinfo.php?orgnum=15852,Буда,ФАП,FAP,"ул. Молодежная, 2, 247702, д. Смолинка, Калинковичский р-н, Гомельская обл.",,52.36548,29.451329
