adm2_pcode,district,adm1_pcode,region,center_lat,center_lon,settlements,over_3km,over_8km,over_13km,mean_distance,median_distance,max_distance,pct_over_3km,pct_over_8km,pct_over_13km,district_match,population_total,population_65plus,pct_65plus,salary
BY002021,Zhlobin,BY002,Gomel,52.7879734,29.96338916,161,96,5,0,3.41,3.42,9.15,59.6,3.1,0.0,Zhlobin,97108,13235,13.6,2302.5
BY003001,Berestovica,BY003,Grodno,53.26037489,23.99006937,191,132,13,0,4.14,4.01,9.9,69.1,6.8,0.0,Berestovitsa,14175,3084,21.8,2376.9
BY003002,Djatlovo,BY003,Grodno,53.42203331,25.49878249,266,135,0,0,3.09,3.03,7.18,50.8,0.0,0.0,Dyatlovo,21949,5244,23.9,2152.6
BY003003,Grodno,BY003,Grodno,53.66917992,24.03792369,415,310,65,5,5.04,4.77,14.8,74.7,15.7,1.2,Grodno,48199,10399,21.6,2501.5
BY003004,Ive,BY003,Grodno,53.99440193,25.98933215,324,216,21,0,4.19,4.04,12.37,66.7,6.5,0.0,Ivye,18919,4201,22.2,1940.9
BY003005,Korelichi,BY003,Grodno,53.49232483,26.28640838,117,60,1,0,3.14,3.02,8.0,51.3,0.9,0.0,Korelichy,17668,4670,26.4,2097.6
BY003006,Lida,BY003,Grodno,53.75642204,25.33596539,236,139,10,0,3.59,3.29,10.8,58.9,4.2,0.0,Lida,131597,21923,16.7,2267.4
BY003007,Mosty,BY003,Grodno,53.40158272,24.81941715,138,88,3,0,3.73,3.78,9.25,63.8,2.2,0.0,Mosty,24653,6013,24.4,2034.8
BY003008,Novogrudok,BY003,Grodno,53.61859512,25.98748465,250,101,1,0,2.74,2.69,9.09,40.4,0.4,0.0,Novogrudok,40088,8603,21.5,2131.4
BY003009,Oshmjany,BY003,Grodno,54.339755,25.8976094,329,195,24,0,3.94,3.4,11.63,59.3,7.3,0.0,Oshmyany,28771,4872,16.9,2105.9
BY003010,Ostrovec,BY003,Grodno,54.7364341,26.04126495,409,265,11,0,3.79,3.74,10.13,64.8,2.7,0.0,Ostrovets,28500,4436,15.6,3198.4
BY003011,Schuchin,BY003,Grodno,53.72475815,24.75357032,455,330,36,0,4.65,4.57,12.48,72.5,7.9,0.0,Shchuchin,30824,7633,24.8,2272.4
BY003012,Slonim,BY003,Grodno,53.08176994,25.2758262,135,79,8,0,3.95,3.4,10.41,58.5,5.9,0.0,Slonim,59900,11504,19.2,2182.8
BY003013,Smorgon,BY003,Grodno,54.50150681,26.45283395,288,197,2,0,3.99,4.25,8.39,68.4,0.7,0.0,Smorgon,47776,8877,18.6,2405.6
BY003014,Svisloch,BY003,Grodno,52.93741012,24.27672746,172,84,4,0,3.16,2.98,9.65,48.8,2.3,0.0,Svisloch,12230,3717,30.4,2125.2
BY003015,Volkovysk,BY003,Grodno,53.18072128,24.3973883,231,113,0,0,3.19,2.99,7.01,48.9,0.0,0.0,Volkovysk,62960,11164,17.7,2311.5
BY003016,Voronovo,BY003,Grodno,54.068815,25.19672617,388,217,4,0,3.32,3.36,9.55,55.9,1.0,0.0,Voronovo,20479,4285,20.9,2020.3
BY003017,Zel'va,BY003,Grodno,53.09431648,24.86959961,135,84,5,0,3.62,3.43,8.85,62.2,3.7,0.0,Zelva,12474,3450,27.7,2110.2
BY004001,Berezino,BY004,Minsk,53.8214035,29.09248902,154,100,1,0,3.9,3.66,10.45,64.9,0.6,0.0,Berezino,21156,4506,21.3,2127.3
BY004002,Borisov,BY004,Minsk,54.30732155,28.5450782,347,206,7,0,3.38,3.32,9.26,59.4,2.0,0.0,Borisov,167032,28641,17.1,2409.7
BY004003,Cherven,BY004,Minsk,53.75743485,28.52221071,206,109,0,0,2.98,3.05,7.59,52.9,0.0,0.0,Cherven,33325,6401,19.2,2283.0
BY004004,Dzerzhinsk,BY004,Minsk,53.67505646,27.26864827,295,109,0,0,2.67,2.6,7.73,36.9,0.0,0.0,Dzerzhinsk,70702,11220,15.9,2941.2
BY004005,Kletsk,BY004,Minsk,52.9147625,26.68416982,116,47,2,0,2.71,2.62,8.34,40.5,1.7,0.0,Kletsk,25180,5550,22.0,2198.7
BY004006,Kopyl,BY004,Minsk,53.07493019,27.15425891,250,122,0,0,3.06,2.96,7.7,48.8,0.0,0.0,Kopyl,26067,6196,23.8,2308.1
BY004007,Krupki,BY004,Minsk,54.33418655,29.16256463,212,115,2,0,3.29,3.11,9.36,54.2,0.9,0.0,Krupki,21346,4805,22.5,2240.4
BY004008,Logojsk,BY004,Minsk,54.39142036,27.85482262,351,243,55,0,4.75,4.32,12.76,69.2,15.7,0.0,Logoysk,38384,7087,18.5,2579.7
BY004009,Lyuban,BY004,Minsk,52.72777176,28.08959497,93,41,0,0,2.79,2.66,7.16,44.1,0.0,0.0,Lyuban,27987,5993,21.4,2459.0
BY004010,Minsk,BY004,Minsk,53.92589378,27.35800694,336,177,2,0,3.15,3.09,8.81,52.7,0.6,0.0,Minsk,279989,36909,13.2,3309.5
BY004011,Mjadel,BY004,Minsk,54.785326,27.00642639,374,244,21,0,3.95,3.7,10.82,65.2,5.6,0.0,Miadel,23825,5516,23.2,2215.0
BY004012,Molodechno,BY004,Minsk,54.24438667,26.86609517,328,166,3,0,3.23,3.02,8.97,50.6,0.9,0.0,Molodechno,127622,22583,17.7,2303.8
BY004013,Nesvizh,BY004,Minsk,53.23179626,26.64076847,140,45,0,0,2.34,2.39,6.07,32.1,0.0,0.0,Nesvizh,38350,7238,18.9,2606.1
BY004014,Puhovichi,BY004,Minsk,53.47013092,28.02126872,335,187,6,0,3.36,3.3,9.92,55.8,1.8,0.0,Pukhovichy,67081,13467,20.1,2567.3
BY004015,Slutsk,BY004,Minsk,53.11743355,27.81557746,191,89,2,0,2.8,2.8,9.83,46.6,1.0,0.0,Slutsk,84548,15743,18.6,2401.7
BY004016,Smolevichi,BY004,Minsk,53.98191833,28.25444508,191,118,9,0,3.73,3.73,10.91,61.8,4.7,0.0,Smolevichy,56657,9554,16.9,3083.5
BY004017,Soligorsk,BY004,Minsk,52.65680313,27.57838888,206,78,2,0,2.68,2.53,9.14,37.9,1.0,0.0,Soligorsk,125406,19865,15.8,3220.8
BY004018,St.Dorogi,BY004,Minsk,53.0643959,28.29847735,57,22,0,0,2.46,2.27,7.68,38.6,0.0,0.0,Staryie Dorogi,18783,3960,21.1,2257.6
BY004019,Stolbtsy,BY004,Minsk,53.60342979,26.73200235,206,104,4,0,3.08,3.02,11.12,50.5,1.9,0.0,Stolbtsy,37185,7662,20.6,2361.6
